F-volt,Object,Type
4.599217986,PP,H
4.604105572,PP,H
4.599217986,PP,H
4.613880743,PP,H
4.608993157,PP,H
4.608993157,PP,H
4.613880743,PP,H
4.398826979,PP,H
4.467253177,PP,H
4.442815249,PP,H
4.477028348,PP,H
4.589442815,PP,H
4.662756598,PP,H
4.437927664,PP,H
4.525904203,PP,H
4.521016618,PP,H
4.481915934,PP,H
4.49657869,PP,H
4.511241447,PP,H
4.501466276,PP,H
4.521016618,PP,H
4.521016618,PP,H
4.535679374,PP,H
4.560117302,PP,H
4.574780059,PP,H
4.579667644,PP,H
4.579667644,PP,H
4.594330401,PP,H
4.618768328,PP,H
4.633431085,PP,H
4.643206256,PP,H
4.638318671,PP,H
4.648093842,PP,H
4.633431085,PP,H
4.652981427,PP,H
4.652981427,PP,H
4.662756598,PP,H
4.672531769,PP,H
4.667644184,PP,H
4.667644184,PP,H
4.667644184,PP,H
4.657869013,PP,H
4.657869013,PP,H
4.643206256,PP,H
4.652981427,PP,H
4.613880743,PP,H
4.613880743,PP,H
4.437927664,PP,H
4.467253177,PP,H
4.491691105,PP,H
4.506353861,PP,H
4.511241447,PP,H
4.535679374,PP,H
4.550342131,PP,H
4.589442815,PP,H
4.604105572,PP,H
4.6285435,PP,H
4.643206256,PP,H
4.643206256,PP,H
4.643206256,PP,H
4.6285435,PP,H
4.604105572,PP,H
4.574780059,PP,H
4.560117302,PP,H
4.530791789,PP,H
4.569892473,PP,H
4.565004888,PP,H
4.579667644,PP,H
4.608993157,PP,H
4.643206256,PP,H
4.579667644,PP,H
4.579667644,PP,H
